Language,Wiki,Articles,Speakers,Admins,Active Users
Quechua,qu,"19,649","8,912,820",2,31
Bulgarian,bg,"220,476","8,157,770",26,724
Kazakh,kk,"216,523","8,077,770",15,139
Belarusian,be,"120,389","7,960,000",9,242
Haitian,ht,"50,894","7,731,240",1,27
Alemannic,als,"21,759","7,299,500",7,79
Catalan,ca,"517,443","7,200,000",25,1043
Afrikaans,af,"41,216","7,096,810",11,151
Armenian,hy,"207,195","5,902,970",10,495
Mongolian,mn,"15,823","5,756,590",6,102
Croatian,hr,"168,286","5,752,090",27,452
Neapolitan,nap,"14,348","5,700,000",1,26
Minangkabau,min,"221,879","5,530,000",3,19
Danish,da,"218,699","5,522,490",27,860
Albanian,sq,"59,305","5,414,300",11,184
Tatar,tt,"69,472","5,406,110",3,65
Finnish,fi,"400,386","5,392,180",38,1532
Hebrew,he,"194,679","5,302,770",42,2352
Slovak,sk,"214,207","5,187,740",8,413
Buginese,bug,"14,109","5,017,800",0,14
Sicilian,scn,"25,343","4,700,000",7,38
Tajik,tg,"66,639","4,479,650",5,57
Georgian,ka,"106,464","4,237,710",3,202
Lombard,lmo,"34,267","3,903,000",6,44
Venetian,vec,"10,774","3,852,500",3,46
Mazanderani,mzn,"12,354","3,270,000",3,26
Lithuanian,lt,"179,276","3,001,860",15,322
Low Saxon,nds,"25,579","3,000,000",4,52
Kirghiz,ky,"57,162","2,941,930",4,54
Waray-Waray,war,"1,261,703","2,560,000",2,78
Galician,gl,"132,755","2,355,000",14,225
Bosnian,bs,"69,998","2,225,290",8,150
Slovenian,sl,"153,036","2,085,160",25,309
Esperanto,eo,"232,365","2,000,000",20,388
Piedmontese,pms,"63,958","1,600,000",9,33
Latvian,lv,"72,087","1,552,260",12,228
Yiddish,yi,"13,422","1,510,430",3,28
Nahuatl,nah,"11,365","1,500,000",3,24
Macedonian,mk,"86,713","1,407,810",15,151
Chechen,ce,"147,835","1,361,000",3,36
Limburgish,li,"11,417","1,300,000",5,26
Bashkir,ba,"36,211","1,221,340",7,66
Estonian,et,"149,052","1,105,400",32,334
Chuvash,cv,"34,751","1,077,420",2,34
Newari,new,"72,370","861,000",1,27
Basque,eu,"257,161","720,000",13,209
Walloon,wa,"14,210","600,000",1,23
Ossetian,os,"10,266","577,450",3,26
Welsh,cy,"71,227","536,890",15,107
Norwegian (Nynorsk),nn,"130,341","500,000",25,158
Samogitian,bat-smg,"15,874","500,000",4,26
West Frisian,fy,"34,766","467,000",9,60
Sakha,sah,"10,896","450,000",2,38
Luxembourgish,lb,"46,550","336,710",5,81
Icelandic,is,"41,041","330,000",25,100
Irish,ga,"38,477","276,310",7,79
Occitan,oc,"90,625","218,310",4,94
Breton,br,"59,637","206,000",8,84
Sorani,ckb,"17,659","200,000",6,101
Bishnupriya Manipuri,bpy,"25,066","117,500",1,20
Asturian,ast,"47,034","110,000",9,85
Scots,sco,"41,196","100,000",5,80
Faroese,fo,"12,220","66,150",2,31
Scottish Gaelic,gd,"14,091","63,130",5,35
Upper Sorbian,hsb,"10,719","40,000",3,33
Hill Mari,mrj,"10,097","30,000",0,7
Sanskrit,sa,"10,177","15,770",6,45
Aragonese,an,"31,539","10,000",6,55
Ido,io,"26,745","2,500",4,43
Interlingua,ia,"19,732","1,500",6,31
